CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
2020-08-29,15:40:00,BRONX,10466,40.8921,-73.83376,POINT (-73.83376 40.8921),PRATT AVENUE,STRANG AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4342908,Sedan,Station Wagon/Sport Utility Vehicle,,,
2020-08-29,21:00:00,BROOKLYN,11221,40.6905,-73.919914,POINT (-73.919914 40.6905),BUSHWICK AVENUE,PALMETTO STREET,,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4343555,Sedan,Sedan,,,
2020-08-29,18:20:00,,,40.8165,-73.946556,POINT (-73.946556 40.8165),8 AVENUE,,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,4343142,Station Wagon/Sport Utility Vehicle,,,,
2020-08-29,00:00:00,BRONX,10459,40.82472,-73.89296,POINT (-73.89296 40.82472),,,1047 SIMPSON STREET,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,,4343588,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Motorcycle,
2020-08-29,17:10:00,BROOKLYN,11203,40.64989,-73.93389,POINT (-73.93389 40.64989),,,4609 SNYDER AVENUE,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4342953,Sedan,Sedan,,,
2020-08-29,03:29:00,,,40.68231,-73.84495,POINT (-73.84495 40.68231),WOODHAVEN BOULEVARD,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4342721,Station Wagon/Sport Utility Vehicle,,,,
2020-08-29,19:30:00,BRONX,10459,40.825226,-73.88778,POINT (-73.88778 40.825226),LONGFELLOW AVENUE,EAST 165 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4343004,Station Wagon/Sport Utility Vehicle,,,,
2020-08-29,00:00:00,,,40.80016,-73.93538,POINT (-73.93538 40.80016),2 AVENUE,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4343342,Station Wagon/Sport Utility Vehicle,,,,
2020-08-29,19:50:00,BRONX,10466,40.894314,-73.86027,POINT (-73.86027 40.894314),EAST 233 STREET,CARPENTER AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,,,4343030,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,
2020-08-29,09:20:00,QUEENS,11385,40.70678,-73.90888,POINT (-73.90888 40.70678),,,565 WOODWARD AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4343040,Sedan,,,,
2020-08-29,00:07:00,QUEENS,11436,40.680237,-73.79774,POINT (-73.79774 40.680237),,,116-52 144 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4342743,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
2020-08-29,14:00:00,QUEENS,11433,40.704422,-73.792854,POINT (-73.792854 40.704422),ARCHER AVENUE,MERRICK BOULEVARD,,0,0,0,0,0,0,0,0,Oversized Vehicle,Passing Too Closely,,,,4343448,Bus,Station Wagon/Sport Utility Vehicle,,,
2020-08-29,21:33:00,BRONX,10455,40.812965,-73.9161,POINT (-73.9161 40.812965),EAST 146 STREET,BROOK AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4343143,Station Wagon/Sport Utility Vehicle,,,,
2020-08-29,22:53:00,BROOKLYN,11249,40.70166,-73.961464,POINT (-73.961464 40.70166),WILLIAMSBURG STREET WEST,WYTHE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4343074,Sedan,,,,
2020-08-29,04:14:00,,,40.835373,-73.842186,POINT (-73.842186 40.835373),WATERBURY AVENUE,,,1,0,0,0,0,0,1,0,Unspecified,,,,,4342716,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
2020-08-29,06:35:00,,,40.65965,-73.773834,POINT (-73.773834 40.65965),ROCKAWAY BOULEVARD,NASSAU EXPRESSWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4342746,Sedan,Station Wagon/Sport Utility Vehicle,,,
